"Station_name","Station_number","Behavior","CVc.CVq","Slope1","p1","R2v1","n1","Slope2","p2","R2v2","n2","Pct_slope_change"
"Leaf River nr Staples, CSAH29","13058001","mobilizing",0.54,0.23,0,0.15,181,0.23,0,0.14,174,-0.59
"Long Prairie River at Philbrook, 313th Ave","14027002","mobilizing",0.71,0.11,0.02,0.02,279,0.1,0.04,0.02,274,-5.65
"Long Prairie River at Long Prairie, MN","14051001","mobilizing",1.05,0.41,0,0.14,60,0.44,0,0.16,59,7.12
"Two Rivers nr Bowlus, 40th St","15067002","chemodynamic",0.88,-0.16,0.47,0.03,21,-0.16,0.47,0.03,21,0
"Sauk River nr St. Martin, CR12","16051001","mobilizing",1.27,0.83,0,0.3,60,1.01,0,0.37,56,21.66
"Clearwater River nr Clearwater, CR145","17008003","chemodynamic",1.22,-0.12,0.44,0.01,59,-0.28,0.1,0.05,56,137.88
"Elk River nr Big Lake, MN","17046001","mobilizing",1.12,0.44,0.02,0.09,63,0.5,0.01,0.11,61,11.55
"St. Francis River nr Big Lake, 164th St","17049003","chemodynamic",0.78,-0.17,0.27,0.02,61,-0.16,0.32,0.02,56,-2.19
"Middle Fork Crow River nr Manannah, CSAH30","18053001","mobilizing",1.57,0.91,0,0.28,70,0.83,0,0.25,67,-8.82
"North Fork Crow River nr Cokato, CSAH4","18083001","mobilizing",1.49,0.9,0,0.19,74,1.02,0,0.21,71,14.2
"North Fork Crow River nr Rockford, Farmington Ave","18088001","mobilizing",1.05,0.33,0,0.07,206,0.32,0,0.06,202,-4.36
"South Fork Crow River at Delano, Bridge Ave","19001001","mobilizing",0.53,0.1,0.05,0.02,212,0.12,0.03,0.02,206,16.77
"Buffalo Creek nr Glencoe, CSAH1","19043001","chemodynamic",0.95,-0.05,0.56,0,71,0.09,0.39,0.01,68,-260.73
"West Branch Rum River nr Princeton, CR102","21040002","chemodynamic",0.33,0.15,0.12,0.1,25,0.15,0.12,0.1,25,0
"Rum River at Anoka,headwater side of dam","21101002","mobilizing",0.72,0.37,0,0.14,171,0.38,0,0.14,170,1.48
"Minnesota River nr Lac qui Parle, MN","22007001","mobilizing",0.9,0.31,0.01,0.05,165,0.35,0,0.06,162,12.09
"Yellow Bank River nr Odessa, CSAH40","22012001","mobilizing",0.52,0.55,0,0.45,177,0.56,0,0.44,173,1.26
"Pomme De Terre River at Appleton, MN","23007001","mobilizing",1.07,0.95,0,0.33,166,0.94,0,0.33,164,-0.47
"Pomme de Terre River nr Hoffman, CR76","23054001","mobilizing",1.94,0.91,0,0.25,110,1.25,0,0.32,103,38.26
"Lac qui Parle River nr Lac qui Parle, CSAH31","24023001","mobilizing",0.71,0.49,0,0.33,186,0.49,0,0.31,181,0.31
"Lac qui Parle River nr Providence, CSAH23","24053001","mobilizing",0.49,0.58,0,0.4,72,0.7,0,0.44,69,20.68
